id,player_name
4895,RobinVentura
767,BrianDaubach
2608,JaredSandberg
5516,ToddHollandsworth
5038,RyanLudwick
1369,CraigMonroe
4806,RichAurilia
5517,ToddHundley
4047,MattKata
98,AdamPiatt
3384,JuanPierre
621,BradyClark
2093,FranciscoSantos
3962,MarkSweeney
750,BrianBanks
560,BobbyHill
4104,MattWilliams
3729,LaynceNix
1979,EricYoung
2135,GabeKapler
3945,MarkKotsay
459,BarryLarkin
1848,EdgardoAlfonzo
2835,JerryHairston
5161,ScottHatteberg
1620,DavidSegui
1495,DannyBautista
3472,KarimGarcia
1835,EddiePérez
3390,JuanUribe
993,CaseyBlake
4531,OrlandoHudson
4252,MikeBordick
5724,TylerHouston
5543,TomWilson
4753,RaulChavez
3510,KenHarvey
5268,ShaneSpencer
3961,MarkSmith
477,BenGrieve
1359,CoryVance
124,AdriánBeltré
5697,TyWigginton
4568,PatBurrell
1790,DustanMohr
1102,ChoneFiggins
544,BoHart
4600,PaulLo Duca
5911,XavierNady
1206,ChrisWoodward
4715,RamonMartinez
3594,KevinWitt
2904,JimmyRollins
1273,CodyRoss
2698,JasonTyner
383,AntonioPerez
3971,MarlonAnderson
4599,PaulKonerko
796,BrianRoberts
3778,LouMerloni
4982,RussOrtiz
801,BrianSchneider
1199,ChrisTruby
4864,RobbQuinlan
5960,YorvitTorrealba
77,AdamEverett
3934,MarkDeRosa
5545,TomasPerez
4916,RogerCedeno
4264,MikeDiFelice
2809,JeremyGiambi
1084,ChaseUtley
558,BobbyEstalella
4235,MiguelOjeda
5529,ToddZeile
4881,RobertMachado
5532,TomGoodwin
1560,DaveHansen
1679,DesiRelaford
2070,FernandoVina
559,BobbyHigginson
5826,WarrenMorris
3835,LuisRivas
5128,SandyAlomar
4287,MikeKinkade
5523,ToddSears
3936,MarkEllis
3043,JohnMabry
5540,TomPrince
4533,OrlandoPalmeiro
4728,RamónVázquez
4888,RobertoAlomar
823,BrookFordyce
213,AlexSanchez
1554,DaveBerg
3909,MarcoScutaro
1423,DamianMiller
4153,MichaelBarrett
3364,JuanCastro
5455,TerrenceLong
5786,VictorMartinez
5514,ToddGreene
1377,CristianGuzman
4298,MikeMatheny
5510,TobyHall
2169,GaryMatthews
4783,ReneReyes
2181,GeoffBlum
2732,JaysonWerth
1981,ErickAlmonte
929,CarlCrawford
3599,KhalilGreene
5902,WoodyWilliams
155,AlbertoCastillo
4926,RonCoomer
3367,JuanCruz
1727,DonaldoMendez
64,Abraham O.Nunez
3237,JoshBard
472,BenDavis
2050,FelixHeredia
4044,MattHerges
5488,TimHudson
4948,RontrezJohnson
1353,CoryLidle
3679,KyleLohse
3494,KeithOsik
1425,DamianRolls
3006,JohanSantana
52,AaronSele
5771,VanceWilson
1581,DavidDellucci
3071,JohnnyEstrada
5506,TimoPerez
4227,MiguelCairo
3446,JustinMorneau
5574,TonyBatista
138,AlMartin
3407,JuliusMatos
1347,CorkyMiller
350,AngelSantos
5461,TerryShumpert
2262,GreggZaun
3500,KellyStinnett
4521,OmarVizquel
4935,RonaldCalloway
4532,OrlandoMerced
2469,JackWilson
1251,CocoCrisp
1659,DennyHocking
81,AdamHyzdu
2668,JasonJones
4363,MoVaughn
5286,ShawnWooten
2645,JasonConti
713,BrentMayne
2780,JeffReboulet
967,CarlosRivera
1582,DavidEckstein
4033,MattFranco
4211,MichelHernandez
3841,LuisTerrero
2589,JameyCarroll
4754,RaulGonzalez
1924,EndyChavez
1644,DeiviCruz
5489,TimHummel
4236,MiguelOlivo
3928,MarkBellhorn
3230,JoseVizcaino
5490,TimLaker
1527,DarinErstad
1506,DannyKlassen
4589,PaulBako
5897,Wily MoPeña
1188,ChrisSingleton
7,A.J.Hinch
1545,DarrenOliver
1937,EnriqueWilson
5876,WillieBloomquist
486,BenPetrick
1564,DaveRoberts
460,BarryWesson
981,CarlosZambrano
1887,EinarDíaz
4964,RoyceClayton
3332,JoséHernández
1136,ChrisGomez
4406,NeifiPerez
1364,CraigCounsell
1748,DougGlanville
3952,MarkMcLemore
1502,DannyGarcia
5674,TroyO'Leary
742,BrettTomko
4833,RickyGutierrez
2103,FrankMenechino
2785,JeffSuppan
4830,RickeyHenderson
3208,JoseMacias
1941,EricBruntlett
4014,MattCepicky
188,AlexCora
3596,KevinYoung
1889,EliMarrero
2877,JhonnyPeralta
1271,CodyRansom
75,AdamEaton
4969,RubenMateo
1422,DamianJackson
3956,MarkPrior
4775,ReggieTaylor
4321,MikeRedmond
2202,GeronimoGil
2044,FelipeLopez
235,AlfredoAmezaga
5259,ShaneHalter
1451,DanWilson
2711,JavierValentin
2352,HumbertoCota
1967,EricOwens
3270,JoshPaul
1740,DontrelleWillis
1642,DeeBrown
655,BrandonInge
3535,KerryRobinson
1204,ChrisWidger
2163,GaryBennett
4306,MikeMordecai
4256,MikeBynum
2951,JoeMcEwing
3713,LanceNiekro
4970,RubenQuevedo
1017,CesarIzturis
4279,MikeHampton
4971,RubenRivera
581,BradAusmus
748,Brian L.Hunter
4906,RodBarajas
1538,DarrenBragg
3937,MarkGrace
2000,ErnieYoung
3179,JorgeVelandia
1571,DavidBell
5403,T.J.Tucker
2320,HenryMateo
706,BrentButler
4720,RamonSantiago
1021,ChadAllen
2961,JoeRoa
3919,MarcusThames
4792,ReySanchez
869,BubbaTrammell
1732,DonnieSadler
2898,JimmyHaynes
3204,JoseLeon
2666,JasonJennings
2188,GeorgeLombard
271,AndresTorres
944,CarlosFebles
