year,index,player_url,TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO,GO/AO,TB,IBB,BABIP,AB/HR
2004,4,,Texas Rangers,AL,162,5615,860,1492,323,34,227,825,500,1099,69,36,0.266,0.329,0.457,0.786,6256,61,23,57,91,1422,0.85,2564,41,0.291,24.74
2004,5,,Boston Red Sox,AL,162,5720,949,1613,373,25,222,912,659,1189,68,30,0.282,0.36,0.472,0.832,6515,69,12,55,123,1418,0.9,2702,39,0.319,25.77
2004,6,,Philadelphia Phillies,NL,162,5643,840,1505,303,23,215,802,645,1133,100,27,0.267,0.345,0.443,0.788,6456,58,64,46,123,1535,0.97,2499,60,0.297,26.25
2004,7,,St. Louis Cardinals,NL,162,5555,855,1544,319,24,214,817,548,1085,111,47,0.278,0.344,0.46,0.804,6297,51,73,70,121,1564,1.04,2553,64,0.307,25.96
2004,8,,Los Angeles Dodgers,NL,162,5542,761,1450,226,30,203,731,536,1092,102,41,0.262,0.332,0.423,0.755,6244,62,69,35,121,1655,1.14,2345,45,0.291,27.3
2004,9,,Colorado Rockies,NL,162,5577,833,1531,331,34,202,795,568,1181,44,33,0.275,0.345,0.455,0.8,6333,54,97,37,132,1660,1.24,2536,51,0.314,27.61
2004,10,,Detroit Tigers,AL,162,5623,827,1531,284,54,201,800,518,1144,86,50,0.272,0.337,0.449,0.786,6285,50,50,43,110,1509,0.98,2526,32,0.308,27.98
2004,11,,Cincinnati Reds,NL,162,5518,750,1380,287,28,194,713,599,1335,77,25,0.25,0.331,0.418,0.749,6278,81,55,25,125,1547,1.16,2305,38,0.295,28.44
2004,12,,Minnesota Twins,AL,162,5623,780,1494,310,24,191,735,513,982,116,46,0.266,0.332,0.431,0.763,6286,64,46,40,130,1686,1.09,2425,42,0.29,29.44
2004,13,,Oakland Athletics,AL,162,5728,793,1545,336,15,189,752,608,1061,47,22,0.27,0.343,0.433,0.776,6459,55,25,43,142,1502,0.89,2478,40,0.3,30.31
2004,14,,Houston Astros,NL,162,5468,803,1458,294,36,187,756,590,999,89,30,0.267,0.342,0.436,0.778,6269,61,98,52,128,1576,0.99,2385,54,0.293,29.24
2004,15,,New York Mets,NL,162,5532,684,1376,289,20,185,658,512,1159,107,23,0.249,0.317,0.409,0.726,6209,61,69,34,129,1571,1.03,2260,54,0.282,29.9
2004,16,,Cleveland Indians,AL,162,5676,858,1565,345,29,184,820,606,1009,94,55,0.276,0.351,0.444,0.795,6452,78,47,42,143,1597,1.0,2520,41,0.305,30.85
2004,17,,San Francisco Giants,NL,162,5546,850,1500,314,33,183,805,705,874,43,23,0.27,0.357,0.438,0.795,6466,72,92,51,141,1724,1.08,2429,153,0.29,30.31
2004,18,,Atlanta Braves,NL,162,5570,803,1503,304,37,178,767,587,1158,86,32,0.27,0.343,0.434,0.777,6339,59,75,48,123,1649,1.19,2415,51,0.309,31.29
2004,19,,Baltimore Orioles,AL,162,5736,842,1614,319,18,169,803,528,949,101,41,0.281,0.345,0.432,0.777,6431,57,46,62,126,1626,0.98,2476,34,0.309,33.94
2004,20,,Anaheim Angels,AL,162,5675,836,1603,272,37,162,783,450,942,143,46,0.282,0.341,0.429,0.77,6296,73,56,41,123,1656,1.05,2435,43,0.312,35.03
2004,21,,Montreal Expos,NL,162,5474,635,1361,276,27,151,605,496,925,109,38,0.249,0.313,0.392,0.705,6138,35,100,33,115,1776,1.15,2144,51,0.273,36.25
2004,22,,Kansas City Royals,AL,162,5538,720,1432,261,29,150,675,461,1057,67,48,0.259,0.322,0.397,0.719,6153,76,40,38,130,1608,1.06,2201,28,0.293,36.92
2004,23,,Florida Marlins,NL,162,5486,718,1447,275,32,148,677,499,968,96,43,0.264,0.329,0.406,0.735,6160,58,77,40,142,1659,1.09,2230,37,0.295,37.07
2004,24,,Tampa Bay Devil Rays,AL,161,5483,714,1416,278,46,145,685,469,944,132,42,0.258,0.32,0.405,0.725,6098,55,35,56,97,1598,0.99,2221,33,0.286,37.81
2004,24,,Toronto Blue Jays,AL,161,5531,719,1438,290,34,145,680,513,1083,58,31,0.26,0.328,0.403,0.731,6178,71,20,42,139,1633,1.13,2231,25,0.298,38.14
2004,26,,Pittsburgh Pirates,NL,161,5483,680,1428,267,39,142,648,415,1066,63,40,0.26,0.321,0.401,0.722,6115,95,79,42,117,1721,1.24,2199,33,0.298,38.61
2004,27,,San Diego Padres,NL,162,5573,768,1521,304,32,139,722,566,910,52,25,0.273,0.342,0.414,0.756,6313,56,52,66,128,1668,1.05,2306,45,0.301,40.09
