index,PLAYER,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
1,Scott Munter,P,SF,27,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,1,0,0,0,0,-.--,1,2,0,1.000,1.000,-.--,.---,.000,.000
2,Bruce Chen,P,BAL,40,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
2,Bob Howry,P,CHC,84,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
2,Travis Hughes,P,WSH,8,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
2,Scott Linebrink,P,SD,73,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
2,Will Ohman,P,CHC,78,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
2,Javier Vazquez,P,CWS,33,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0,1,0,0,1.00,0,1,0,1.000,.000,-.--,.---,.000,.000
8,Ryan Klesko,X,SD,6,4,0,3,1,0,0,2,2,0,0,0,.750,.833,1.000,1.833,6,0,0,0,0,0.00,1,4,0,.750,.250,-.--,.---,.333,.000
9,Adam Wainwright,P,STL,61,6,2,3,1,0,1,1,0,0,0,0,.500,.500,1.167,1.667,6,0,0,0,0,3.00,2,7,0,.400,.667,6.00,.---,.000,.000
10,Robby Hammock,1B,AZ,1,2,1,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,2,0,0,0,0,1.00,1,2,0,.500,.500,-.--,.---,.000,.000
10,Sun-Woo Kim,P,CIN,8,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,2,0,0,0,0,0.00,1,2,0,.500,.500,-.--,.---,.000,.000
10,Braden Looper,P,STL,69,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,2,0,0,0,0,1.00,1,2,0,.500,.500,-.--,.---,.000,.000
13,Chad Santos,1B,SF,3,7,2,3,0,0,1,2,1,2,0,0,.429,.500,.857,1.357,8,0,0,0,0,2.00,1,6,0,.500,.429,7.00,.500,.125,.250
14,Einar Díaz,X,LAD,3,3,0,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.334,3,0,0,0,0,1.00,0,2,0,.667,.000,-.--,.---,.000,.000
14,Oswaldo Navarro,X,SEA,4,3,0,2,0,0,0,0,0,1,0,0,.667,.667,.667,1.334,4,0,1,0,0,1.00,0,2,0,1.000,.000,-.--,.---,.000,.250
16,Josh Beckett,P,BOS,33,7,2,3,0,0,1,3,0,2,0,0,.429,.429,.857,1.286,7,0,0,0,0,1.00,1,6,0,.500,.429,7.00,.---,.000,.286
17,Jake Westbrook,P,CLE,32,4,0,2,1,0,0,1,0,1,0,0,.500,.500,.750,1.250,5,0,1,0,0,2.00,1,3,0,.667,.250,-.--,.---,.000,.200
18,Joaquin Arias,SS,TEX,6,11,4,6,1,0,0,1,1,0,0,1,.545,.583,.636,1.219,12,0,0,0,0,1.50,1,7,0,.545,.091,-.--,.---,.083,.000
19,Jeff Baker,RF,COL,18,57,13,21,7,2,5,21,1,14,2,0,.368,.379,.825,1.204,58,0,0,0,0,1.75,14,47,0,.421,.456,11.40,.071,.017,.241
20,Eric Stults,P,LAD,6,5,1,3,0,0,0,0,0,1,0,0,.600,.600,.600,1.200,6,0,1,0,0,1.00,0,3,0,.750,.000,-.--,.---,.000,.167
21,Kerry Wood,P,CHC,4,6,0,3,1,0,0,2,0,0,0,0,.500,.500,.667,1.167,6,0,0,0,0,0.50,1,4,0,.500,.167,-.--,.---,.000,.000
