index,PLAYER,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
1,Jeff Tam,P,TOR,44,1,0,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,1,0,0,0,0,-.--,1,2,0,1.000,1.000,-.--,.---,.000,.000
1,Jose Valverde,P,AZ,54,1,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0,0,0,0,-.--,1,2,0,1.000,1.000,-.--,.---,.000,.000
3,Steve Avery,P,DET,19,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Troy Brohawn,P,LA,12,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,R.A. Dickey,P,TEX,38,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Chris George,P,KC,18,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,3,0,2,0,0,2.00,0,1,0,1.000,.000,-.--,.---,.000,.000
3,J.R. House,X,PIT,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Jason Isringhausen,P,STL,40,2,0,1,0,1,0,3,0,0,0,0,.500,.500,1.500,2.000,2,0,0,0,0,1.00,1,3,0,.500,1.000,-.--,.---,.000,.000
3,Chris Latham,X,NYY,4,2,3,2,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,2,0,0,0,0,-.--,0,2,0,1.000,.000,-.--,.---,.000,.000
3,Braden Looper,P,FLA,74,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0,1,0,0,1.00,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Kevin Ohme,P,STL,2,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Jason Roach,P,NYM,2,2,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0,0,0,0,-.--,0,2,0,1.000,.000,-.--,.---,.000,.000
3,Felix Rodriguez,P,SF,68,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Esteban Yan,P,STL,39,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
15,Steve Kline,P,STL,78,2,0,1,1,0,0,2,0,0,0,0,.500,.500,1.000,1.500,3,0,1,0,0,2.00,1,2,0,.500,.500,-.--,.---,.000,.000
15,Jason Marquis,P,ATL,21,2,0,1,1,0,0,1,0,0,0,0,.500,.500,1.000,1.500,4,0,2,0,0,2.00,1,2,0,.500,.500,-.--,.---,.000,.000
17,Kit Pellow,C,COL,11,18,6,8,3,1,1,4,0,4,0,0,.444,.476,.889,1.365,21,2,0,1,0,0.40,5,16,0,.500,.444,18.00,.---,.000,.190
18,Barry Bonds,LF,SF,130,390,111,133,22,1,45,90,148,58,7,0,.341,.529,.749,1.278,550,10,0,2,7,0.65,68,292,61,.304,.408,8.67,2.552,.269,.105
19,Mark Hendrickson,P,TOR,30,4,1,1,0,0,1,1,0,1,0,0,.250,.250,1.000,1.250,4,0,0,0,1,1.00,1,4,0,.000,.750,4.00,.---,.000,.250
20,Michael Ryan,RF,MIN,27,61,13,24,7,0,5,13,6,12,2,1,.393,.441,.754,1.195,68,0,0,1,4,0.86,12,46,0,.422,.361,12.20,.500,.088,.176
21,Rheal Cormier,P,PHI,65,2,1,1,0,0,0,0,1,0,0,0,.500,.667,.500,1.167,3,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.333,.000
21,Mike Maroth,P,DET,33,2,0,1,0,0,0,0,1,0,0,0,.500,.667,.500,1.167,4,0,1,0,0,2.00,0,1,0,.500,.000,-.--,.---,.250,.000
23,Mandy Romero,C,COL,3,7,2,3,1,0,0,0,0,1,0,0,.429,.556,.571,1.127,9,2,0,0,1,3.00,1,4,0,.500,.143,-.--,.---,.000,.111
24,Jason Lane,X,HOU,18,27,5,8,2,0,4,10,0,2,0,0,.296,.296,.815,1.111,27,0,0,0,0,0.21,6,22,0,.190,.519,6.75,.---,.000,.074
25,Albert Pujols,LF,STL,157,591,137,212,51,1,43,124,79,65,5,1,.359,.439,.667,1.106,685,10,0,5,13,1.02,95,394,12,.346,.308,13.74,1.215,.115,.095
26,Mike Hessman,LF,ATL,19,21,2,6,2,0,2,3,5,6,0,0,.286,.423,.667,1.090,26,0,0,0,2,0.80,4,14,1,.308,.381,10.50,.833,.192,.231
27,Todd Helton,1B,COL,160,583,135,209,49,5,33,117,111,72,0,4,.358,.458,.630,1.088,703,2,0,7,19,0.72,87,367,21,.363,.271,17.67,1.542,.158,.102
28,Javy Lopez,C,ATL,129,457,89,150,29,3,43,109,33,90,0,1,.328,.378,.687,1.065,495,4,0,1,10,0.90,75,314,5,.329,.359,10.63,.367,.067,.182
29,Felix Jose,X,AZ,18,18,1,6,1,0,1,6,6,3,0,0,.333,.500,.556,1.056,24,0,0,0,1,1.25,2,10,1,.357,.222,18.00,2.000,.250,.125
30,Chris Magruder,LF,CLE,9,26,3,9,2,1,1,3,3,6,0,1,.346,.433,.615,1.048,30,1,0,0,0,1.75,4,16,0,.421,.269,26.00,.500,.100,.200
31,Gary Sheffield,RF,ATL,155,576,126,190,37,2,39,132,86,55,18,4,.330,.419,.604,1.023,678,8,0,8,16,1.07,78,348,6,.308,.274,14.77,1.564,.127,.081
32,Carlos Delgado,1B,TOR,161,570,117,172,38,1,42,145,109,137,0,0,.302,.426,.593,1.019,705,19,0,7,9,0.85,81,338,23,.327,.291,13.57,.796,.155,.194
33,David DeJesus,CF,KC,12,7,0,2,0,1,0,0,1,2,0,0,.286,.444,.571,1.015,10,1,1,0,0,1.00,1,4,0,.400,.286,-.--,.500,.100,.200
34,Manny Ramirez,LF,BOS,154,569,117,185,36,1,37,104,97,94,3,1,.325,.427,.587,1.014,679,8,0,5,22,0.78,74,334,28,.334,.262,15.38,1.032,.143,.138
35,Vladimir Guerrero,RF,MON,112,394,71,130,20,3,25,79,63,53,9,5,.330,.426,.586,1.012,467,6,0,4,18,1.07,48,231,22,.328,.256,15.76,1.189,.135,.113
36,Jim Edmonds,CF,STL,137,447,89,123,32,2,39,89,77,127,1,3,.275,.385,.617,1.002,531,4,1,2,11,0.90,73,276,6,.297,.342,11.46,.606,.145,.239
37,Steve Colyer,P,LA,13,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
37,Tripp Cromer,X,HOU,3,4,0,1,0,1,0,1,0,0,0,0,.250,.250,.750,1.000,4,0,0,0,0,0.00,1,3,0,.250,.500,-.--,.---,.000,.000
37,Cal Eldred,P,STL,63,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
37,Scott Eyre,P,SF,74,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.000
37,Jesse Garcia,2B,ATL,13,10,6,4,0,1,0,2,0,1,0,1,.400,.400,.600,1.000,10,0,0,0,0,0.67,1,6,0,.444,.200,-.--,.---,.000,.100
37,Rick Helling,P,FLA,35,3,0,1,1,0,0,0,0,1,0,0,.333,.333,.667,1.000,3,0,0,0,0,1.00,1,2,0,.500,.333,-.--,.---,.000,.333
37,Koyie Hill,X,LA,3,3,0,1,1,0,0,0,0,2,0,0,.333,.333,.667,1.000,3,0,0,0,0,-.--,1,2,0,1.000,.333,-.--,.---,.000,.667
37,Jose Lima,P,KC,14,2,1,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,3,0,1,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.000
37,Noah Lowry,P,SF,4,2,1,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
37,David Matranga,X,HOU,6,5,1,1,0,0,1,1,0,2,0,0,.200,.200,.800,1.000,5,0,0,0,0,1.00,1,4,0,.000,.600,5.00,.---,.000,.400
37,Sergio Mitre,P,CHC,3,2,1,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
37,Chan Ho Park,P,TEX,7,0,1,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
37,Matt Roney,P,DET,45,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
37,CC Sabathia,P,CLE,31,6,1,3,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,6,0,0,0,0,1.00,0,3,0,.600,.000,-.--,.---,.000,.167
37,Jason Standridge,P,TB,8,0,0,0,0,0,0,0,1,0,0,1,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
37,Ugueth Urbina,P,FLA,72,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,2,0,1,0,0,1.00,0,0,0,.---,--,-.--,.---,.500,.000
37,Tim Wakefield,P,BOS,35,0,0,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000,1,1,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.000,.000
37,Jake Westbrook,P,CLE,34,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
55,Alex Rodriguez,SS,TEX,161,607,124,181,30,6,47,118,87,126,17,3,.298,.396,.600,.996,715,15,0,6,16,0.91,83,364,10,.305,.301,12.92,.690,.122,.176
56,Jason Michaels,X,PHI,76,109,20,36,11,0,5,17,15,22,0,0,.330,.416,.569,.985,125,1,0,0,3,1.32,16,62,1,.378,.239,21.80,.682,.120,.176
