index,PLAYER,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
598,Franklin Gutierrez,X,CLE,7,1,2,0,0,0,0,0,1,0,0,0,.000,.500,.000,.500,2,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.500,.000
598,Clay Hensley,P,SD,24,6,0,1,1,0,0,0,0,3,0,0,.167,.167,.333,.500,6,0,0,0,0,1.00,1,2,0,.333,.167,-.--,.---,.000,.500
598,Josh Johnson,P,FLA,4,4,1,1,0,0,0,0,0,2,0,0,.250,.250,.250,.500,4,0,0,0,0,0.00,0,1,0,.500,.000,-.--,.---,.000,.500
598,Henry Mateo,2B,WSH,1,1,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,.500,2,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.500,.000
598,Gil Meche,P,SEA,29,4,0,1,0,0,0,1,0,1,0,0,.250,.250,.250,.500,4,0,0,0,0,2.00,0,1,0,.333,.000,-.--,.---,.000,.250
598,Hayden Penn,P,BAL,8,1,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,.500,3,0,1,0,0,1.00,0,0,0,.000,.000,-.--,.---,.333,.000
598,Julio Ramirez,X,SF,12,4,3,1,0,0,0,1,0,1,0,0,.250,.250,.250,.500,4,0,0,0,0,0.00,0,1,0,.333,.000,-.--,.---,.000,.250
598,Kevin Reese,LF,NYY,2,1,0,0,0,0,0,0,1,1,0,0,.000,.500,.000,.500,2,0,0,0,0,-.--,0,0,0,.---,.000,-.--,1.000,.500,.500
598,Al Reyes,P,STL,65,1,0,0,0,0,0,0,1,1,0,0,.000,.500,.000,.500,3,0,1,0,0,1.00,0,0,0,.---,.000,-.--,1.000,.333,.333
598,Tim Wakefield,P,BOS,33,8,1,2,0,0,0,1,0,2,0,0,.250,.250,.250,.500,9,0,1,0,0,5.00,0,2,0,.333,.000,-.--,.---,.000,.222
598,Todd Wellemeyer,P,CHC,22,4,1,1,0,0,0,0,0,2,0,0,.250,.250,.250,.500,4,0,0,0,0,0.00,0,1,0,.500,.000,-.--,.---,.000,.500
598,Eli Whiteside,C,BAL,9,12,1,3,0,0,0,1,0,2,0,0,.250,.250,.250,.500,12,0,0,0,1,0.75,0,3,0,.300,.000,-.--,.---,.000,.167
614,Keith Ginter,2B,OAK,51,137,12,22,5,0,3,25,13,25,0,0,.161,.234,.263,.497,156,1,2,3,5,0.83,8,36,0,.170,.102,45.67,.520,.083,.160
614,Jeff Liefer,DH,CLE,19,56,5,11,2,0,1,8,1,15,0,0,.196,.211,.286,.497,57,0,0,0,1,1.14,3,16,0,.250,.089,56.00,.067,.018,.263
616,Jason Grabowski,X,LAD,65,112,14,18,0,0,4,12,10,29,1,0,.161,.228,.268,.496,124,0,0,1,4,1.13,4,30,1,.175,.107,28.00,.345,.081,.234
616,Andy Phillips,1B,NYY,27,40,7,6,4,0,1,4,1,13,0,0,.150,.171,.325,.496,41,0,0,0,1,1.10,5,13,0,.192,.175,40.00,.077,.024,.317
618,Robert Andino,SS,FLA,17,44,4,7,4,0,0,1,5,8,1,0,.159,.245,.250,.495,50,0,1,0,2,2.33,4,11,1,.194,.091,-.--,.625,.100,.160
619,Josh Beckett,P,FLA,29,59,5,9,3,0,1,6,7,17,0,0,.153,.239,.254,.493,71,0,4,1,1,1.92,4,15,0,.190,.102,59.00,.412,.099,.239
619,Pat Borders,C,SEA,39,117,12,23,5,0,1,7,4,22,0,0,.197,.228,.265,.493,125,1,2,1,4,1.08,6,31,1,.232,.068,117.00,.182,.032,.176
621,Horacio Ramirez,P,ATL,34,73,4,16,3,0,0,2,1,17,0,0,.219,.230,.260,.490,77,0,3,0,2,3.78,3,19,0,.286,.041,-.--,.059,.013,.221
622,Tony Blanco,X,WSH,56,62,7,11,3,0,1,7,2,19,1,0,.177,.215,.274,.489,65,1,0,0,0,0.78,4,17,0,.238,.097,62.00,.105,.031,.292
622,Joe Dillon,X,FLA,27,36,6,6,1,0,1,1,1,8,0,0,.167,.211,.278,.489,39,1,1,0,3,1.30,2,10,0,.185,.111,36.00,.125,.026,.205
624,Calvin Pickering,DH,KC,7,27,4,4,0,0,1,3,3,14,0,0,.148,.226,.259,.485,31,0,0,1,0,1.50,1,7,0,.231,.111,27.00,.214,.097,.452
625,Miguel Ojeda,C,SEA,59,102,8,15,3,1,1,9,15,24,1,2,.147,.256,.225,.481,120,0,3,0,2,1.06,5,23,2,.182,.078,102.00,.625,.125,.200
626,Jason Smith,SS,DET,27,58,4,11,1,2,0,2,0,16,2,1,.190,.203,.276,.479,63,1,4,0,0,1.06,3,16,0,.262,.086,-.--,.---,.000,.254
627,Kyle Davies,P,ATL,21,15,0,3,0,0,0,4,2,3,0,0,.200,.278,.200,.478,28,0,10,1,0,5.67,0,3,0,.231,.000,-.--,.667,.071,.107
628,Kris Benson,P,NYM,28,49,4,9,1,0,0,6,5,22,0,0,.184,.273,.204,.477,61,1,6,0,0,3.80,1,10,0,.333,.020,-.--,.227,.082,.361
629,Raul Chavez,C,HOU,37,99,6,17,3,0,2,6,4,18,1,0,.172,.210,.263,.473,105,1,0,1,5,0.97,5,26,0,.188,.091,49.50,.222,.038,.171
629,Edwin Jackson,P,LAD,10,10,0,2,0,0,0,1,1,2,0,0,.200,.273,.200,.473,11,0,0,0,0,0.20,0,2,0,.250,.000,-.--,.500,.091,.182
631,Matt Watson,LF,OAK,19,48,4,9,3,0,0,5,2,4,0,0,.188,.220,.250,.470,50,0,0,0,1,0.84,3,12,0,.205,.063,-.--,.500,.040,.080
632,Jake Peavy,P,SD,30,53,5,10,1,0,0,2,4,16,0,0,.189,.259,.208,.467,63,1,5,0,1,1.67,1,11,0,.270,.019,-.--,.250,.063,.254
632,Enrique Wilson,X,CHC,15,22,1,3,2,0,0,0,3,1,0,0,.136,.240,.227,.467,25,0,0,0,0,0.64,2,5,0,.143,.091,-.--,3.000,.120,.040
634,Alexis Gomez,LF,DET,9,16,2,3,0,0,0,1,2,2,0,0,.188,.278,.188,.466,18,0,0,0,0,2.67,0,3,0,.214,.000,-.--,1.000,.111,.111
635,Scott McClain,X,CHC,13,14,1,2,1,0,0,1,2,2,0,0,.143,.250,.214,.464,16,0,0,0,1,1.50,1,3,0,.167,.071,-.--,1.000,.125,.125
636,Andrés Blanco,2B,KC,26,79,6,17,0,1,0,5,0,5,0,1,.215,.220,.241,.461,86,1,4,2,3,1.25,1,19,0,.224,.025,-.--,.---,.000,.058
