index,PLAYER,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
1,Félix Hernández,P,SEA,31,1,1,1,0,0,1,4,0,0,0,0,1.000,1.000,4.000,5.000,2,0,1,0,0,1.00,1,4,0,.---,3.000,1.00,.---,.000,.000
2,Mark Worrell,P,STL,4,2,1,1,0,0,1,3,0,0,0,0,.500,.500,2.000,2.500,2,0,0,0,0,0.00,1,4,0,.000,1.500,2.00,.---,.000,.000
3,Tyler Clippard,P,WSH,2,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Tim Dillard,P,MIL,13,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Jeff Fiorentino,CF,OAK,2,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Charlie Haeger,P,SD,4,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Bobby Korecky,P,MIN,16,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Hector Luna,X,TOR,2,1,0,1,0,0,0,0,0,0,0,1,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
3,Chris Snelling,X,PHI,4,4,1,2,1,0,1,1,0,0,0,0,.500,.500,1.500,2.000,4,0,0,0,0,1.00,2,6,0,.333,1.000,4.00,.---,.000,.000
3,Matt Tupman,C,KC,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
11,Lou Marson,C,PHI,1,4,2,2,0,0,1,2,0,2,0,0,.500,.500,1.250,1.750,4,0,0,0,0,-.--,1,5,0,1.000,.750,4.00,.---,.000,.500
12,Mat Gamel,X,MIL,2,2,0,1,1,0,0,0,0,1,0,0,.500,.500,1.000,1.500,2,0,0,0,0,-.--,1,2,0,1.000,.500,-.--,.---,.000,.500
12,Ty Taubenheim,P,PIT,1,2,0,1,1,0,0,1,0,0,0,0,.500,.500,1.000,1.500,2,0,0,0,0,1.00,1,2,0,.500,.500,-.--,.---,.000,.000
14,Brian Stokes,P,NYM,24,3,0,2,0,0,0,0,0,1,0,0,.667,.667,.667,1.334,3,0,0,0,0,-.--,0,2,0,1.000,.000,-.--,.---,.000,.333
15,Mike Hessman,3B,DET,12,27,6,8,1,0,5,7,2,9,0,0,.296,.387,.889,1.276,31,2,0,0,0,0.67,6,24,0,.231,.593,5.40,.222,.065,.290
16,Taylor Teagarden,C,TEX,16,47,10,15,5,0,6,17,5,19,0,0,.319,.396,.809,1.205,53,1,0,0,0,0.63,11,38,0,.409,.489,7.83,.263,.094,.358
17,Josh Whitesell,X,AZ,7,7,1,2,0,0,1,1,1,2,0,0,.286,.444,.714,1.158,9,1,0,0,0,0.50,1,5,0,.250,.429,7.00,.500,.111,.222
18,Albert Pujols,1B,STL,148,524,100,187,44,0,37,116,104,54,7,3,.357,.462,.653,1.115,641,5,0,8,16,0.83,81,342,34,.340,.296,14.16,1.926,.162,.084
19,Cameron Maybin,CF,FLA,8,32,9,16,2,0,0,2,3,8,4,0,.500,.543,.563,1.106,36,0,1,0,0,0.80,2,18,0,.667,.063,-.--,.375,.083,.222
20,Cody Ransom,1B,NYY,33,43,9,13,3,0,4,8,6,12,0,0,.302,.400,.651,1.051,51,1,1,0,0,0.90,7,28,0,.333,.349,10.75,.500,.118,.235
21,Chipper Jones,3B,ATL,128,439,82,160,24,1,22,75,90,61,4,0,.364,.470,.574,1.044,534,1,0,4,13,1.09,47,252,16,.383,.210,19.96,1.475,.169,.114
22,Manny Ramirez,LF,LAD,153,552,102,183,36,1,37,121,87,124,3,0,.332,.430,.601,1.031,654,11,0,4,17,0.86,74,332,24,.370,.270,14.92,.702,.133,.190
23,Nelson Cruz,RF,TEX,31,115,19,38,9,1,7,26,17,28,3,1,.330,.421,.609,1.030,133,1,0,0,1,0.96,17,70,2,.388,.278,16.43,.607,.128,.211
24,Chris Dickerson,LF,CIN,31,102,20,31,9,2,6,15,17,35,5,3,.304,.413,.608,1.021,122,2,1,0,0,0.85,17,62,0,.410,.304,17.00,.486,.139,.287
25,Rafael Furcal,SS,LAD,36,143,34,51,12,2,5,16,20,17,8,3,.357,.439,.573,1.012,164,1,0,0,3,1.27,19,82,0,.380,.217,28.60,1.176,.122,.104
26,Scott Baker,P,MIN,28,2,1,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,5,0,3,0,0,3.00,0,1,0,1.000,.000,-.--,.---,.000,.200
26,Erik Bedard,P,SEA,15,4,0,2,0,0,0,0,0,2,0,0,.500,.500,.500,1.000,4,0,0,0,0,-.--,0,2,0,1.000,.000,-.--,.---,.000,.500
26,T.J. Bohn,LF,PHI,14,5,1,2,1,0,0,3,0,1,0,0,.400,.400,.600,1.000,5,0,0,0,0,2.00,1,3,0,.500,.200,-.--,.---,.000,.200
26,Jason Bourgeois,X,CWS,6,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,3,0,0,0,0,1.00,1,2,0,.333,.333,-.--,.---,.000,.000
26,Cedrick Bowers,P,COL,5,0,1,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
26,Taylor Buchholz,P,COL,63,0,0,0,0,0,0,1,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
26,Sean Burnett,P,PIT,58,3,1,1,1,0,0,0,0,2,0,0,.333,.333,.667,1.000,3,0,0,0,0,-.--,1,2,0,1.000,.333,-.--,.---,.000,.667
26,Clay Condrey,P,PHI,56,3,1,1,1,0,0,0,0,2,0,0,.333,.333,.667,1.000,3,0,0,0,0,-.--,1,2,0,1.000,.333,-.--,.---,.000,.667
26,Alcides Escobar,X,MIL,9,4,2,2,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,4,0,0,0,0,1.00,0,2,0,.667,.000,-.--,.---,.000,.250
26,Marco Estrada,P,WSH,11,0,1,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,2,0,1,0,0,1.00,0,0,0,.---,--,-.--,.---,.500,.000
26,Justin Germano,P,SD,12,9,1,4,1,0,0,1,0,3,0,0,.444,.444,.556,1.000,12,0,3,0,0,5.00,1,5,0,.667,.111,-.--,.---,.000,.250
26,Eric Hurley,P,TEX,5,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
26,Aaron Laffey,P,CLE,16,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,0.00,0,1,0,.500,.000,-.--,.---,.000,.000
26,Juan Miranda,1B,NYY,5,10,2,4,1,0,0,1,2,4,0,0,.400,.500,.500,1.000,14,1,0,1,0,0.50,1,5,0,.571,.100,-.--,.500,.143,.286
26,Will Ohman,P,ATL,83,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
26,Gaby Sanchez,1B,FLA,5,8,0,3,2,0,0,1,0,2,0,0,.375,.375,.625,1.000,8,0,0,0,0,2.00,2,5,0,.500,.250,-.--,.---,.000,.250
26,Greg Smith,P,OAK,32,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,3,0,1,0,0,1.00,0,1,0,1.000,.000,-.--,.---,.000,.333
