index,PLAYER,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
1,Neal Cotts,P,CWS,56,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0,0,0,0,-.--,1,2,0,1.000,1.000,-.--,.---,.000,.000
1,Michael Gonzalez,P,PIT,47,1,0,1,1,0,0,2,0,0,0,0,1.000,1.000,2.000,3.000,1,0,0,0,0,-.--,1,2,0,1.000,1.000,-.--,.---,.000,.000
3,Al Reyes,P,STL,12,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
4,Jason Ellison,X,SF,13,4,4,2,0,0,1,3,0,1,2,0,.500,.500,1.250,1.750,4,0,0,0,0,0.00,1,5,0,.500,.750,4.00,.---,.000,.250
5,Scott Schoeneweis,P,CWS,20,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,2,0,0,0,0,1.00,1,2,0,.500,.500,-.--,.---,.000,.000
5,Salomon Torres,P,PIT,84,2,0,1,1,0,0,0,0,1,0,0,.500,.500,1.000,1.500,2,0,0,0,0,-.--,1,2,0,1.000,.500,-.--,.---,.000,.500
7,Barry Bonds,LF,SF,147,373,129,135,27,3,45,101,232,41,6,1,.362,.609,.812,1.421,617,9,0,3,5,0.80,75,303,120,.310,.450,8.29,5.659,.376,.066
8,Joey Eischen,P,MON,22,3,2,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.334,4,0,1,0,0,2.00,0,2,0,.667,.000,-.--,.---,.000,.000
9,Ryan Drese,P,TEX,34,4,1,2,1,0,0,0,0,2,0,0,.500,.500,.750,1.250,4,0,0,0,0,-.--,1,3,0,1.000,.250,-.--,.---,.000,.500
10,Jim Brower,P,SF,89,2,1,1,0,0,0,0,1,1,0,0,.500,.667,.500,1.167,3,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,1.000,.333,.333
10,Kevin Correia,P,SF,12,3,1,1,1,0,0,0,1,1,0,0,.333,.500,.667,1.167,4,0,0,0,0,1.00,1,2,0,.500,.333,-.--,1.000,.250,.250
12,Adam Hyzdu,LF,BOS,17,10,3,3,2,0,1,2,1,2,0,0,.300,.364,.800,1.164,11,0,0,0,0,0.67,3,8,0,.286,.500,10.00,.500,.091,.182
13,Josh Bard,C,CLE,7,19,5,8,2,0,1,4,3,0,0,0,.421,.478,.684,1.162,23,0,0,1,0,5.00,3,13,0,.368,.263,19.00,.---,.130,.000
14,Tony Torcato,X,SF,13,9,1,5,0,0,0,2,1,0,0,0,.556,.583,.556,1.139,12,1,0,1,0,0.00,0,5,0,.500,.000,-.--,.---,.083,.000
15,Ernie Young,X,CLE,3,4,0,2,0,0,0,0,1,2,0,0,.500,.600,.500,1.100,5,0,0,0,0,-.--,0,2,0,1.000,.000,-.--,.500,.200,.400
16,Todd Helton,1B,COL,154,547,115,190,49,2,32,96,127,72,3,0,.347,.469,.620,1.089,683,3,0,6,12,0.77,83,339,19,.352,.272,17.09,1.764,.186,.105
17,Stephen Randolph,P,AZ,47,12,4,5,3,0,0,3,0,3,0,0,.417,.417,.667,1.084,12,0,0,0,0,1.00,3,8,0,.556,.250,-.--,.---,.000,.250
18,Albert Pujols,1B,STL,154,592,133,196,51,2,46,123,84,52,5,5,.331,.415,.657,1.072,692,7,0,9,21,0.93,99,389,12,.298,.326,12.87,1.615,.121,.075
19,Jim Edmonds,CF,STL,153,498,102,150,38,3,42,111,101,150,8,3,.301,.418,.643,1.061,612,5,0,8,4,0.81,83,320,12,.344,.341,11.86,.673,.165,.245
20,Adrián Beltré,3B,LA,156,598,104,200,32,0,48,121,53,87,7,2,.334,.388,.629,1.017,657,2,0,4,15,0.93,80,376,9,.325,.294,12.46,.609,.081,.132
21,Lance Berkman,RF,HOU,160,544,104,172,40,3,30,106,127,101,9,7,.316,.450,.566,1.016,687,10,0,6,10,0.85,73,308,14,.339,.250,18.13,1.257,.185,.147
22,Larry Walker,RF,STL,82,258,51,77,16,4,17,47,49,57,6,0,.298,.424,.589,1.013,316,8,0,1,8,1.27,37,152,3,.324,.291,15.18,.860,.155,.180
23,Manny Ramirez,LF,BOS,152,568,108,175,44,0,43,130,82,124,2,4,.308,.397,.613,1.010,663,6,0,7,17,0.97,87,348,15,.324,.305,13.21,.661,.124,.187
24,Scott Rolen,3B,STL,142,500,109,157,32,4,34,124,72,92,4,3,.314,.409,.598,1.007,593,13,1,7,8,0.56,70,299,5,.323,.284,14.71,.783,.121,.155
25,J.D. Drew,RF,ATL,145,518,118,158,28,8,31,93,118,116,12,3,.305,.436,.569,1.005,645,5,1,3,7,1.05,67,295,2,.340,.264,16.71,1.017,.183,.180
26,Chad Bentz,P,MON,36,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,0.00,0,1,0,.500,.000,-.--,.---,.000,.000
26,Jason Davis,P,CLE,26,5,1,1,0,0,1,1,0,2,0,0,.200,.200,.800,1.000,5,0,0,0,0,2.00,1,4,0,.000,.600,5.00,.---,.000,.400
