index,PLAYER,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
26,Charles Gipson,SS,TB,5,4,1,2,0,0,0,0,0,1,1,0,.500,.500,.500,1.000,5,0,1,0,0,2.00,0,2,0,.667,.000,-.--,.---,.000,.200
26,Brad Halsey,P,NYY,8,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
26,Todd Jones,P,PHI,78,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
26,Dan Miceli,P,HOU,74,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
26,Jamie Moyer,P,SEA,34,2,0,1,0,0,0,2,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
26,Elizardo Ramirez,P,PHI,7,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
26,Steve Reed,P,COL,65,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
26,Jason Simontacchi,P,STL,15,2,1,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.000
26,Mike Stanton,P,NYM,83,2,0,1,0,0,0,1,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
37,Frank Thomas,DH,CWS,74,240,53,65,16,0,18,49,64,57,0,2,.271,.434,.563,.997,311,6,0,1,2,0.51,34,135,3,.283,.292,13.33,1.123,.206,.183
38,Travis Hafner,DH,CLE,140,482,96,150,41,3,28,109,68,111,3,2,.311,.410,.583,.993,576,17,0,6,11,0.82,72,281,7,.350,.272,17.21,.613,.118,.193
39,Vladimir Guerrero,RF,ANA,156,612,124,206,39,2,39,126,52,74,15,3,.337,.391,.598,.989,680,8,0,8,19,0.94,80,366,14,.329,.261,15.69,.703,.076,.109
40,David Ortiz,DH,BOS,150,582,94,175,47,3,41,139,75,133,0,0,.301,.380,.603,.983,669,4,0,8,12,0.76,91,351,8,.322,.302,14.20,.564,.112,.199
41,Melvin Mora,3B,BAL,140,550,111,187,41,0,27,104,66,95,11,6,.340,.419,.562,.981,636,11,6,3,10,0.91,68,309,0,.371,.222,20.37,.695,.104,.149
42,Jim Thome,1B,PHI,143,508,97,139,28,1,42,105,104,144,0,2,.274,.396,.581,.977,618,2,0,4,10,0.86,71,295,26,.298,.307,12.10,.722,.168,.233
43,Bobby Abreu,RF,PHI,159,574,118,173,47,1,30,105,127,116,40,5,.301,.428,.544,.972,713,5,0,7,5,0.96,78,312,10,.329,.242,19.13,1.095,.178,.163
44,Andres Galarraga,X,ANA,7,10,1,3,0,0,1,2,0,3,0,0,.300,.364,.600,.964,11,1,0,0,1,4.00,1,6,0,.333,.300,10.00,.---,.000,.273
45,Garrett Atkins,X,COL,15,28,3,10,2,0,1,8,4,3,0,0,.357,.424,.536,.960,33,0,0,1,0,1.67,3,15,0,.360,.179,28.00,1.333,.121,.091
46,J.T. Snow,1B,SF,107,346,62,113,32,1,12,60,58,61,4,0,.327,.429,.529,.958,417,7,2,4,5,0.91,45,183,0,.365,.202,28.83,.951,.139,.146
47,Adam Dunn,LF,CIN,161,568,105,151,34,0,46,102,108,195,6,1,.266,.388,.569,.957,681,5,0,0,8,0.69,80,323,11,.321,.303,12.35,.554,.159,.286
48,Aramis Ramirez,3B,CHC,145,547,99,174,32,1,36,103,49,62,0,2,.318,.373,.578,.951,606,3,0,7,25,0.70,69,316,6,.303,.260,15.19,.790,.081,.102
49,Todd Hollandsworth,RF,CHC,57,148,28,47,6,2,8,22,17,26,1,1,.318,.392,.547,.939,167,1,1,0,2,1.71,16,81,3,.342,.230,18.50,.654,.102,.156
49,Joe Mauer,C,MIN,35,107,18,33,8,1,6,17,11,14,1,0,.308,.369,.570,.939,122,1,0,3,1,1.03,15,61,0,.300,.262,17.83,.786,.090,.115
51,Jeremy Reed,CF,SEA,18,58,11,23,4,0,0,5,7,4,3,1,.397,.470,.466,.936,66,1,0,0,2,1.07,4,27,1,.426,.069,-.--,1.750,.106,.061
52,Troy Glaus,DH,ANA,58,207,47,52,11,1,18,42,31,52,2,3,.251,.355,.575,.930,242,3,0,1,6,0.79,30,119,3,.246,.324,11.50,.596,.128,.215
52,Mark Teixeira,1B,TEX,145,545,101,153,34,2,38,112,68,117,4,1,.281,.370,.560,.930,625,10,0,2,6,0.96,74,305,12,.293,.279,14.34,.581,.109,.187
54,Gary Sheffield,RF,NYY,154,573,117,166,30,1,36,121,92,83,5,6,.290,.393,.534,.927,684,11,0,8,16,0.83,67,306,7,.281,.244,15.92,1.108,.135,.121
55,Robb Quinlan,3B,ANA,56,160,23,55,14,0,5,23,14,26,3,1,.344,.401,.525,.926,177,2,0,1,1,1.05,19,84,0,.385,.181,32.00,.538,.079,.147
56,Carlos Guillen,SS,DET,136,522,97,166,37,10,20,97,52,87,12,5,.318,.379,.542,.921,583,2,3,4,12,1.03,67,283,3,.348,.224,26.10,.598,.089,.149
57,Erubiel Durazo,DH,OAK,142,511,80,164,35,1,22,88,56,104,3,2,.321,.396,.523,.919,578,9,0,2,7,0.83,58,267,9,.367,.202,23.23,.538,.097,.180
58,Moises Alou,LF,CHC,155,601,106,176,36,3,39,106,68,80,3,0,.293,.361,.557,.918,675,0,0,6,12,0.82,78,335,2,.281,.265,15.41,.850,.101,.119
59,Carlos Beltrán,CF,HOU,159,599,121,160,36,9,38,104,92,101,42,3,.267,.367,.548,.915,708,7,3,7,8,0.79,83,328,10,.261,.280,15.76,.911,.130,.143
59,Jeromy Burnitz,RF,COL,150,540,94,153,30,4,37,110,58,124,5,6,.283,.356,.559,.915,606,5,0,3,7,0.93,71,302,7,.304,.276,14.60,.468,.096,.205
59,Sean Casey,1B,CIN,146,571,101,185,44,2,24,99,46,36,2,0,.324,.381,.534,.915,633,10,0,6,16,1.12,70,305,5,.311,.210,23.79,1.278,.073,.057
59,Richie Sexson,1B,AZ,23,90,20,21,4,0,9,23,14,21,0,0,.233,.337,.578,.915,104,0,0,0,2,1.40,13,52,0,.200,.344,10.00,.667,.135,.202
63,Hideki Matsui,LF,NYY,162,584,109,174,34,2,31,108,88,103,3,0,.298,.390,.522,.912,680,3,0,5,11,0.91,67,305,2,.314,.224,18.84,.854,.129,.151
64,José Hernández,2B,LA,95,211,32,61,12,1,13,29,26,61,3,1,.289,.370,.540,.910,238,1,0,0,3,1.07,26,114,6,.350,.251,16.23,.426,.109,.256
65,Jason Bay,LF,PIT,120,411,61,116,24,4,26,82,41,129,4,6,.282,.358,.550,.908,472,10,5,5,9,0.85,54,226,2,.345,.268,15.81,.318,.087,.273
66,Carlos Delgado,1B,TOR,128,458,74,123,26,0,32,99,69,115,0,1,.269,.372,.535,.907,551,13,0,11,11,0.78,58,245,12,.283,.266,14.31,.600,.125,.209
67,Aaron Rowand,CF,CWS,140,487,94,151,38,2,24,69,30,91,17,5,.310,.361,.544,.905,534,10,5,2,5,1.07,64,265,1,.340,.234,20.29,.330,.056,.170
68,Eric Chavez,3B,OAK,125,475,87,131,20,0,29,77,95,99,6,3,.276,.397,.501,.898,577,3,0,4,21,0.80,49,238,10,.291,.225,16.38,.960,.165,.172
69,Ryan Howard,X,PHI,19,39,5,11,5,0,2,5,2,13,0,0,.282,.333,.564,.897,42,1,0,0,2,0.88,7,22,0,.375,.282,19.50,.154,.048,.310
70,Paul Konerko,1B,CWS,155,563,84,156,22,0,41,117,69,107,1,0,.277,.359,.535,.894,643,6,0,5,23,0.92,63,301,5,.274,.258,13.73,.645,.107,.166
70,Eli Marrero,LF,ATL,90,250,37,80,18,1,10,40,23,50,4,1,.320,.374,.520,.894,280,1,2,4,4,0.97,29,130,1,.361,.200,25.00,.460,.082,.179
70,Miguel Tejada,SS,BAL,162,653,107,203,40,2,34,150,48,73,4,1,.311,.360,.534,.894,725,10,0,14,24,1.10,76,349,6,.302,.224,19.21,.658,.066,.101
73,Doug Mirabelli,C,BOS,59,160,27,45,12,0,9,32,19,46,0,0,.281,.368,.525,.893,182,3,0,0,5,1.03,21,84,0,.343,.244,17.78,.413,.104,.253
73,Ivan Rodriguez,C,DET,135,527,72,176,32,2,19,86,41,91,7,4,.334,.383,.510,.893,575,3,0,4,15,1.08,53,269,6,.373,.176,27.74,.451,.071,.158
75,Carlos Lee,LF,CWS,153,591,103,180,37,0,31,99,54,86,11,5,.305,.366,.525,.891,658,7,0,6,10,0.56,68,310,3,.310,.220,19.06,.628,.082,.131
76,Brandon Backe,P,HOU,34,16,3,5,0,0,1,6,1,8,0,0,.313,.389,.500,.889,21,1,3,0,0,5.00,1,8,0,.571,.188,16.00,.125,.048,.381
77,Russ Adams,SS,TOR,22,72,10,22,2,1,4,10,5,5,1,0,.306,.359,.528,.887,78,1,0,0,3,1.37,7,38,0,.286,.222,18.00,1.000,.064,.064
77,Trot Nixon,RF,BOS,48,149,24,47,9,1,6,23,15,24,0,0,.315,.377,.510,.887,167,1,0,2,3,0.78,16,76,1,.339,.195,24.83,.625,.090,.144
77,Augie Ojeda,2B,MIN,30,59,16,20,1,0,2,7,10,3,1,1,.339,.429,.458,.887,72,0,2,1,0,0.86,3,27,0,.327,.119,29.50,3.333,.139,.042
77,Alex Rodriguez,3B,NYY,155,601,112,172,24,2,36,106,80,131,28,4,.286,.375,.512,.887,698,10,0,7,18,0.87,62,308,6,.308,.226,16.69,.611,.115,.188
81,Mark Loretta,2B,SD,154,620,108,208,47,2,16,76,58,45,5,3,.335,.391,.495,.886,707,9,4,16,10,0.78,65,307,3,.334,.160,38.75,1.289,.082,.064
82,Mark Sweeney,X,COL,122,177,25,47,12,2,9,40,32,51,1,0,.266,.377,.508,.885,215,2,0,4,2,1.02,23,90,2,.314,.243,19.67,.627,.149,.237
83,Jorge Posada,C,NYY,137,449,72,122,31,0,21,81,88,92,1,3,.272,.400,.481,.881,547,9,0,1,24,1.54,52,216,5,.300,.209,21.38,.957,.161,.168
84,Jeff Kent,2B,HOU,145,540,96,156,34,8,27,107,49,96,7,3,.289,.348,.531,.879,606,6,0,11,23,0.68,69,287,3,.301,.243,20.00,.510,.081,.158
85,Miguel Cabrera,RF,FLA,160,603,101,177,31,1,33,112,68,148,5,2,.294,.366,.512,.878,685,6,0,8,20,1.12,65,309,5,.335,.219,18.27,.459,.099,.216
86,Justin Morneau,1B,MIN,74,280,39,76,17,0,19,58,28,54,0,0,.271,.340,.536,.876,312,2,0,2,4,0.85,36,150,8,.273,.264,14.74,.519,.090,.173
87,Andy Phillips,3B,NYY,5,8,1,2,0,0,1,2,0,1,0,0,.250,.250,.625,.875,8,0,0,0,1,4.00,1,5,0,.167,.375,8.00,.---,.000,.125
88,Kevin Mench,RF,TEX,125,438,69,122,30,3,26,71,33,63,0,0,.279,.335,.539,.874,481,6,0,4,6,0.70,59,236,2,.272,.260,16.85,.524,.069,.131
89,Javy Lopez,C,BAL,150,579,83,183,33,3,23,86,47,97,0,0,.316,.370,.503,.873,638,6,0,6,16,1.02,59,291,4,.344,.187,25.17,.485,.074,.152
90,Jason Varitek,C,BOS,137,463,67,137,30,1,18,73,62,126,10,3,.296,.390,.482,.872,536,10,0,1,11,0.91,49,223,9,.372,.186,25.72,.492,.116,.235
90,Brad Wilkerson,1B,MON,160,572,112,146,39,2,32,67,106,152,13,6,.255,.374,.498,.872,688,4,3,3,6,0.64,73,285,8,.292,.243,17.88,.697,.154,.221
92,Mike Lowell,3B,FLA,158,598,87,175,44,1,27,85,64,77,5,1,.293,.365,.505,.870,671,6,0,3,17,0.60,72,302,8,.298,.212,22.15,.831,.095,.115
93,Ichiro Suzuki,RF,SEA,161,704,101,262,24,5,8,60,49,63,36,11,.372,.414,.455,.869,762,4,2,3,6,2.28,37,320,19,.399,.082,88.00,.778,.064,.083
94,Vinny Castilla,3B,COL,148,583,93,158,43,3,35,131,51,113,0,0,.271,.332,.535,.867,648,6,0,8,22,1.05,81,312,6,.278,.264,16.66,.451,.079,.174
94,Mike Lamb,3B,HOU,112,278,38,80,14,3,14,58,31,63,1,1,.288,.356,.511,.867,312,0,0,3,4,1.19,31,142,3,.324,.223,19.86,.492,.099,.202
94,John Mabry,LF,STL,87,240,32,71,11,0,13,40,26,63,0,1,.296,.363,.504,.867,275,1,5,3,6,0.97,24,121,5,.347,.208,18.46,.413,.095,.229
97,Luis Gonzalez,LF,AZ,105,379,69,98,28,5,17,48,68,58,2,2,.259,.373,.493,.866,451,2,0,2,9,0.67,50,187,11,.265,.235,22.29,1.172,.151,.129
98,Ken Griffey,CF,CIN,83,300,49,76,18,0,20,60,44,67,1,0,.253,.351,.513,.864,348,2,0,2,8,0.83,38,154,3,.260,.260,15.00,.657,.126,.193
99,Lyle Overbay,1B,MIL,159,579,83,174,53,1,16,87,81,128,2,1,.301,.385,.478,.863,668,2,0,6,11,1.42,70,277,9,.358,.178,36.19,.633,.121,.192
100,Wes Obermueller,P,MIL,26,39,2,15,3,0,0,5,1,14,0,0,.385,.400,.462,.862,42,0,2,0,1,3.00,3,18,0,.600,.077,-.--,.071,.024,.333
101,Derrek Lee,1B,CHC,161,605,90,168,39,1,32,98,68,128,12,5,.278,.356,.504,.860,688,8,2,5,14,0.90,72,305,4,.302,.226,18.91,.531,.099,.186
101,Phil Nevin,1B,SD,147,547,78,158,31,1,26,105,66,121,0,0,.289,.368,.492,.860,623,5,0,5,16,1.28,58,269,5,.326,.203,21.04,.545,.106,.194
103,Ben Broussard,1B,CLE,139,418,57,115,28,5,17,82,52,95,4,2,.275,.370,.488,.858,485,12,1,2,7,0.90,50,204,3,.318,.213,24.59,.547,.107,.196
103,Dioner Navarro,C,NYY,5,7,2,3,0,0,0,1,0,0,0,0,.429,.429,.429,.858,7,0,0,0,1,0.33,0,3,0,.429,.000,-.--,.---,.000,.000
105,Johnny Damon,CF,BOS,150,621,123,189,35,6,20,94,76,71,19,8,.304,.380,.477,.857,702,2,0,3,8,1.18,61,296,1,.317,.172,31.05,1.070,.108,.101
105,Kevin Millar,1B,BOS,150,508,74,151,36,0,18,74,57,91,1,1,.297,.383,.474,.857,588,17,0,6,16,0.64,54,241,0,.328,.177,28.22,.626,.097,.155
105,Olmedo Saenz,X,LA,77,111,17,31,1,0,8,22,12,33,0,0,.279,.352,.505,.857,128,2,0,3,4,0.56,9,56,1,.315,.225,13.88,.364,.094,.258
105,David Wright,3B,NYM,69,263,41,77,17,1,14,40,14,40,6,0,.293,.332,.525,.857,283,3,0,3,7,0.71,32,138,0,.297,.232,18.79,.350,.049,.141
109,Hank Blalock,3B,TEX,159,624,107,172,38,3,32,110,75,149,2,2,.276,.355,.500,.855,713,6,0,8,13,0.67,73,312,7,.310,.224,19.50,.503,.105,.209
110,Ross Gload,1B,CWS,110,234,28,75,16,0,7,44,20,37,0,3,.321,.375,.479,.854,260,2,1,3,11,0.94,23,112,1,.352,.158,33.43,.541,.077,.142
111,Aubrey Huff,3B,TB,157,600,92,178,27,2,29,104,56,74,5,1,.297,.360,.493,.853,667,6,0,5,9,1.06,58,296,6,.297,.197,20.69,.757,.084,.111
111,Craig Wilson,RF,PIT,155,561,97,148,35,5,29,82,50,169,2,2,.264,.354,.499,.853,644,30,0,3,11,1.29,69,280,3,.325,.235,19.34,.296,.078,.262
113,Victor Martinez,C,CLE,141,520,77,147,38,1,23,108,60,69,0,1,.283,.359,.492,.851,591,5,0,6,16,0.81,62,256,11,.286,.210,22.61,.870,.102,.117
113,Mike Sweeney,1B,KC,106,411,56,118,23,0,22,79,33,44,3,2,.287,.347,.504,.851,452,6,0,2,7,0.66,45,207,9,.277,.217,18.68,.750,.073,.097
115,Victor Diaz,RF,NYM,15,51,8,15,3,0,3,8,1,15,0,0,.294,.321,.529,.850,53,1,0,0,3,3.20,6,27,0,.364,.235,17.00,.067,.019,.283
116,Russell Branyan,3B,MIL,51,158,21,37,11,1,11,27,20,68,1,0,.234,.324,.525,.849,182,2,0,2,1,0.53,23,83,0,.321,.291,14.36,.294,.110,.374
116,Brian Giles,RF,SD,159,609,97,173,33,7,23,94,89,80,10,3,.284,.374,.475,.849,711,4,0,9,12,0.70,63,289,6,.291,.190,26.48,1.113,.125,.113
116,Jose Guillen,LF,ANA,148,565,88,166,28,3,27,104,37,92,5,4,.294,.352,.497,.849,621,15,0,3,14,1.18,58,281,5,.310,.204,20.93,.402,.060,.148
116,Sammy Sosa,RF,CHC,126,478,69,121,21,0,35,80,56,133,0,0,.253,.332,.517,.849,539,2,0,3,9,1.10,56,247,4,.275,.264,13.66,.421,.104,.247
120,Ray Durham,2B,SF,120,471,95,133,28,8,17,65,57,60,10,4,.282,.364,.484,.848,542,6,4,4,6,0.97,53,228,3,.291,.202,27.71,.950,.105,.111
121,Eric Bruntlett,SS,HOU,45,52,14,13,2,0,4,8,7,13,4,0,.250,.328,.519,.847,61,0,0,2,0,0.56,6,27,0,.243,.269,13.00,.538,.115,.213
121,Chipper Jones,3B,ATL,137,472,69,117,20,1,30,96,84,96,2,0,.248,.362,.485,.847,567,4,0,7,14,1.20,51,229,8,.246,.237,15.73,.875,.148,.169
121,Ryan Klesko,LF,SD,127,402,58,117,32,2,9,66,73,67,3,2,.291,.399,.448,.847,480,1,1,3,8,0.90,43,180,6,.328,.157,44.67,1.090,.152,.140
124,Wily Mo Peña,RF,CIN,110,336,45,87,10,1,26,66,22,108,5,2,.259,.316,.527,.843,364,6,0,0,7,1.56,37,177,1,.302,.268,12.92,.204,.060,.297
125,Jeff Bagwell,1B,HOU,156,572,104,152,29,2,27,89,96,131,6,4,.266,.377,.465,.842,679,8,0,3,12,0.99,58,266,6,.300,.199,21.18,.733,.141,.193
125,Nomar Garciaparra,SS,CHC,81,321,52,99,21,3,9,41,24,30,4,1,.308,.365,.477,.842,354,6,1,2,10,0.67,33,153,2,.317,.168,35.67,.800,.068,.085
127,David Segui,DH,BAL,18,59,8,20,3,0,1,7,5,13,0,1,.339,.400,.441,.841,65,1,0,0,3,1.17,4,26,1,.422,.102,59.00,.385,.077,.200
128,Casey Blake,3B,CLE,152,587,93,159,36,3,28,88,68,139,5,8,.271,.354,.486,.840,668,9,1,3,19,0.92,67,285,2,.310,.215,20.96,.489,.102,.208
129,Calvin Pickering,DH,KC,35,122,21,30,8,1,7,26,18,42,0,0,.246,.338,.500,.838,142,0,0,2,6,2.25,16,61,1,.307,.254,17.43,.429,.127,.296
130,Matt Holliday,LF,COL,121,400,65,116,31,3,14,57,31,86,3,3,.290,.349,.488,.837,439,6,1,1,9,1.33,48,195,0,.339,.198,28.57,.360,.071,.196
130,Corey Koskie,3B,MIN,118,422,68,106,24,2,25,71,49,103,9,3,.251,.342,.495,.837,488,12,0,5,6,0.72,51,209,10,.271,.244,16.88,.476,.100,.211
130,Kelly Stinnett,C,KC,20,59,10,18,0,0,3,7,5,16,0,0,.305,.379,.458,.837,69,2,3,0,0,0.56,3,27,0,.375,.153,19.67,.313,.072,.232
133,Magglio Ordonez,RF,CWS,52,202,32,59,8,2,9,37,16,22,0,2,.292,.351,.485,.836,222,3,0,1,4,1.22,19,98,2,.291,.193,22.44,.727,.072,.099
133,Michael Young,SS,TEX,160,690,114,216,33,9,22,99,44,89,12,3,.313,.353,.483,.836,739,1,0,4,11,0.75,64,333,1,.333,.170,31.36,.494,.060,.120
135,Bucky Jacobsen,1B,SEA,42,160,17,44,9,0,9,28,14,47,0,0,.275,.335,.500,.835,176,1,0,1,3,1.26,18,80,0,.333,.225,17.78,.298,.080,.267
135,Marcus Thames,LF,DET,61,165,24,42,12,0,10,33,16,42,0,1,.255,.326,.509,.835,184,2,0,1,3,0.61,22,84,0,.281,.255,16.50,.381,.087,.228
137,Jon Rauch,P,MON,9,6,1,1,0,0,1,2,0,4,0,0,.167,.167,.667,.834,6,0,0,0,0,1.00,1,4,0,.000,.500,6.00,.---,.000,.667
138,Todd Greene,C,COL,75,195,23,55,14,0,10,35,13,38,0,0,.282,.325,.508,.833,209,0,0,1,9,0.63,24,99,4,.304,.226,19.50,.342,.062,.182
138,Andruw Jones,CF,ATL,154,570,85,149,34,4,29,91,71,147,6,6,.261,.345,.488,.833,646,3,0,2,24,1.24,67,278,9,.303,.226,19.66,.483,.110,.228
138,Gary Knotts,P,DET,36,3,2,1,0,0,0,0,1,1,0,0,.333,.500,.333,.833,5,0,1,0,0,2.00,0,1,0,.500,.000,-.--,1.000,.200,.200
138,Terry Tiffee,3B,MIN,17,44,7,12,4,0,2,8,3,3,0,0,.273,.333,.500,.833,48,1,0,0,2,2.22,6,22,0,.256,.227,22.00,1.000,.063,.063
138,Juan Uribe,2B,CWS,134,502,82,142,31,6,23,74,32,96,9,11,.283,.327,.506,.833,553,3,11,5,10,0.77,60,254,1,.307,.223,21.83,.333,.058,.174
143,Dustan Mohr,RF,SF,117,263,52,72,20,1,7,28,46,64,0,3,.274,.394,.437,.831,324,8,4,3,5,0.86,28,115,3,.333,.163,37.57,.719,.142,.198
144,Mark Kotsay,CF,OAK,148,606,78,190,37,3,15,63,55,70,8,5,.314,.370,.459,.829,673,2,5,5,6,0.83,55,278,5,.333,.145,40.40,.786,.082,.104
144,Juan Rivera,RF,MON,134,391,48,120,24,1,12,49,34,45,6,2,.307,.364,.465,.829,426,1,0,0,11,1.24,37,182,7,.323,.159,32.58,.756,.080,.106
146,Johnny Estrada,C,ATL,134,462,56,145,36,0,9,76,39,66,0,0,.314,.378,.450,.828,517,11,1,4,18,1.03,45,208,7,.348,.136,51.33,.591,.075,.128
147,Lew Ford,LF,MIN,154,569,89,170,31,4,15,72,67,75,20,2,.299,.381,.446,.827,658,13,2,7,15,1.19,50,254,3,.319,.148,37.93,.893,.102,.114
147,Shannon Stewart,LF,MIN,92,378,46,115,17,2,11,47,47,44,6,3,.304,.380,.447,.827,430,1,1,3,5,1.03,30,169,4,.319,.143,34.36,1.068,.109,.102
